ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Source,Source_comment
sulk1246,Sulka,Papunesia,-5.03471,151.891,sulk1246,sua,150994;26815,Schneider 1942; Reesink 2005
yele1255,Yélî Dnye,Papunesia,-11.3796,154.127,yele1255,yle,,Stephen Levinson (personal communication)
kolp1236,Kol,Papunesia,-5.21042,151.583,kolp1236,kol,,(Reesink notes)
lavu1241,Lavukaleve,Papunesia,-9.05569,159.119,lavu1241,lvk,62173[228],Terrill  2003:228-230
maib1239,Maybrat,Papunesia,-1.3679,132.591,maib1239,ayz,101229[218];553279,Dol 2007:218
kuot1243,Kuot,Papunesia,-3.06952,151.537,kuot1243,kto,"46091[109,217];21547",Lindström 2002:109;217
duna1248,Duna,Papunesia,-5.41439,142.475,duna1248,duc,"93110[105,225]",San Roque 2008:105;225
tobe1252,Tobelo,Papunesia,1.0946,128.154,tobe1252,tlb,83312[21],Holton 2003:21
tido1248,Tidore,Papunesia,0.02461,127.746,tido1248,tvo,54761[212],Van Staden 2000:212
buki1249,Bukiyip,Papunesia,-3.47169,143.111,buki1249,ape,69601[32];548134,Conrad 1991:32 & 18
kama1367,Kamasau,Papunesia,-3.8503,143.842,kama1367,kms,"84092[14,16]",Sanders 1994:14;16
goli1247,Golin,Papunesia,-6.2249,144.8505,goli1247,gvf,81761[94];143054[113];128765,Evans et al 2005:94; Bunn 1974:113
salt1242,Salt-Yui,Papunesia,-6.26519,145.021,salt1242,sll,53259[57],Irwin 1974:57
naba1256,Nabak,Papunesia,-6.42709,146.966,naba1256,naf,116279[45],Fabian et al. 1998:45
sele1250,Selepet,Papunesia,-6.03532,147.234,sele1250,spl,"121598[23,40];76930",McElhanon 1972:23;40
rawa1267,Karo-Rawa,Papunesia,-5.83155,145.937,rawa1267,rwo,70647[58];84220,Toland 1991:58-61
west2599,Kewa,Papunesia,-6.32097,143.73,west2599,kew,27581[62];94430,Franklin 1971:62-63
suen1241,Suena,Papunesia,-7.76339,147.534,suen1241,sue,"60891[59,84];130079",Wilson 1974:59;84
kora1294,Korafe,Papunesia,-9.07,149.267,kora1294,kpr,34264[131],Farr 1999:131-133
ngge1241,Nggem,Papunesia,-3.62735,139.011,ngge1241,nbq,"159159[127,131]",Etherington 2002:127;131
fore1270,Fore,Papunesia,-6.64473,145.5065,fore1270,for,"107238[48,107];119595;143885",Scott 1978:48;107
yaga1260,Yagaria,Papunesia,-6.32432,145.388,yaga1260,ygr,99338[141];153754,Renck 1975:141
huaa1250,Hua (Yagaria),Papunesia,-6.353409,145.339379,huaa1250,,,
amel1241,Amele,Papunesia,-5.29126,145.687,amel1241,aey,73962,Roberts 1998
wask1241,Waskia,Papunesia,-4.57978,145.979,wask1241,wsk,55478[43];145471,Ross & Paol 1978:43; 54
mauw1238,Mauwake,Papunesia,-4.52416,145.394,mauw1238,mhl,"45084[130,146]",Berghäll 2010:130;146
usan1239,Usan,Papunesia,-4.84265,145.362,usan1239,wnu,123899[108];144737,Reesink 1987:108-109
siro1249,Siroi,Papunesia,-5.52893,145.994,siro1249,ssd,"62999[34,57,67];47827",Wells 1979:34;57;67
kesa1244,Koromu,Papunesia,-5.76797,145.58,kesa1244,xes,"314432[103,107]",Priestly 2001:103;107
tauy1241,Tauya,Papunesia,-5.74255,145.366,tauy1241,tya,"83309[73,129,216]",MacDonald 1993:73;129;216
kobo1249,Kobon,Papunesia,-5.16446,144.46,kobo1249,kpw,"123674[109,112]",Davies 1989:109;112
kamo1255,Kamoro,Papunesia,-4.30433,135.883,kamo1255,kgq,145316[14],Drabbe 1953:14
koro1312,Korowai,Papunesia,-5.26952,140.047,koro1312,khe,311395[105],Enk & De Vries 1997:105
wamb1259,Wambon,Papunesia,-5.44334,140.48,wamb1259,wms,"553403[12,80];78780[61];464375",Jang 2008:12;80; De Vries 1992:61
tele1256,Telefol,Papunesia,-5.07444,141.731,tele1256,tlf,143580[28],Healey 1965:28 (Verb Phrase)
mian1256,Mian,Papunesia,-4.70881,141.523,mian1256,mpt,35228[253],Fedden 2007:253
unaa1239,Una,Papunesia,-4.69676,140.1,unaa1239,mtg,527715[108];42878,Louwerse 1988:108-110
siwa1245,Motuna,Papunesia,-6.6429,155.452,siwa1245,siw,"551250[328,410]",Onishi 1994:328;410
suab1238,Inanwatan,Papunesia,-2.07971,132.157,suab1238,szp,33749[36],De Vries 2004:36
hata1243,Hatam,Papunesia,-1.13531,134.037,hata1243,had,132618[51],Reesink 1999:51
kalu1248,Kaluli,Papunesia,-6.45932,142.788,kalu1248,bco,"130893[17,65];132861[526]",Grosh 2004:17;65; Schieffelin 1985:526
orya1242,Orya,Papunesia,-2.76483,139.89,orya1242,ury,118873,Fields 1997
ambu1247,Ambulas,Papunesia,-3.7801,143.059,ambu1247,abt,"18605[66,115];39084",Wilson 1980:66;115
roto1249,Rotokas,Papunesia,-5.94339,155.154,roto1249,roo,95683[205],Robinson 2007:205       2011
nucl1594,Mairasi,Papunesia,-3.4511,134.071,nucl1594,zrs,471898,Peckham 2000
aram1253,Arammba,Papunesia,-8.29593,141.445,aram1253,stk,157158[99],Boevé 2003:99
meya1236,Meyah,Papunesia,-1.18016,133.618,meya1236,mej,69526[78],"Gravelle 2004:78 2011 in glottolog, 2010 in the article."
mali1284,Mali,Papunesia,-4.71826,152.214,mali1284,gcc,309421,Stebbins 2007   2011
kris1246,I’saka,Papunesia,-2.80084,141.303,kris1246,ksi,49601[64],Donohue/San Roque 2004:64
bauz1241,Bauzi,Papunesia,-2.44717,137.629,bauz1241,bvz,89891[13],Briley 1997:13
nucl1622,Marind,Papunesia,-8.15651,140.009,nucl1622,mrz,"57430[67,70,141];151833",Drabbe 1955:67;70;141
abau1245,Abau,Papunesia,-3.97222,141.324,abau1245,aau,22818[110],Lock 1999:110
alam1246,Alamblak,Papunesia,-4.66307,143.316,alam1246,amp,310156[175],Bruce 1984:175
mend1268,Mende,Papunesia,-3.67233,142.683,mend1268,sim,105341[88],Hoel et al 1994:88
nami1256,Namia,Papunesia,-3.85538,141.788,nami1256,nnm,"50406[38,58]",Feldpausch 1992:38;58
yess1239,Yessan-Mayo,Papunesia,-4.15721,142.574,yess1239,yss,"80968[37,109]",Foreman 1974:37;109
uman1240,Umanakaina,Papunesia,-9.89671,149.658,uman1240,gdn,571145[25],Evensen 1996:25
kana1288,Kanasi,Papunesia,-10.1658,149.751,kana1288,soq,"553619[3,44,50]",Royer 1996:3;44;50
buna1278,Bunaq,Papunesia,-9.13618,125.216,buna1278,bfn,"102813[126,435]",Schapper 2010:126;435
kelo1247,Klon,Papunesia,-8.40688,124.429,kelo1247,kyo,95347,Baird 2008
teiw1235,Teiwa,Papunesia,-8.37662,124.174,teiw1235,twe,32869;476560,Klamer 2010; Klamer & Schapper 2012
abui1241,Abui,Papunesia,-8.31058,124.588,abui1241,abz,91131[191],Kratochvíl 2007:191
imon1245,Imonda,Papunesia,-3.31228,141.171,imon1245,imn,"30978[84,87,124,139]",Seiler 1985:84;87;124;139
gras1249,Koiari,Papunesia,-9.51218,147.437,gras1249,kbk,101683[339],Dutton 2003:339-340
meny1245,Menya,Papunesia,-7.17425,146.071,meny1245,mcr,10321[95],Whitehead  2004:95-96
tain1253,Tainae,Papunesia,-7.40306,145.682,tain1253,ago,"128961[12,89,92]",Carlson 1991:12;89;92
yima1243,Yimas,Papunesia,-4.71731,143.572,yima1243,yee,"49447[208,213,307]",Foley 1991:208;213;307
sout2949,Kiwai,Papunesia,-8.64889,143.244,sout2949,kjd,"45923[36,40]",Ray 1931:36;40
dera1245,Menggwa Dla,Papunesia,-3.52309,140.947,dera1245,kbv,"112103[137,288]",De Sousa 2006:137;288
bine1240,Bine,Papunesia,-9.08879,142.893,bine1240,bon,113282,Fleischman/Turpeinen 1975
gizr1240,Gizrra,Papunesia,-9.183,142.804,gizr1240,tof,48129[21],Van Bodegraven &  Van Bodegraven 2004:21
moii1235,Moi,Papunesia,-0.96532,131.52,moii1235,mxn,535588,Reesink 2008
