Language name,Glottocode,Order with theme suffix,Order with theme suffix,Order with no theme affix,Recipient vs.,Reference,Page numbers,Glotto ref ID
,,,,,theme,,,
Amele,amel1241,,V-U-A,,R=T,Roberts 1998,,https://glottolog.org/resource/reference/id/73962
Duna,duna1248,,,other,R=T,San Roque 2008:105;225,105;225,https://glottolog.org/resource/reference/id/93110
Fore,fore1270,U-V-A,,,R=T,Scott 1978:48;107,48;107,https://glottolog.org/resource/reference/id/107238
,,,,,,,,https://glottolog.org/resource/reference/id/119595
,,,,,,,,https://glottolog.org/resource/reference/id/143885
Golin,goli1247,,,V-A,R=T,Evans et al 2005:94; Bunn 1974:113,,"https://glottolog.org/resource/reference/id/81761,"
,,,,,,,,https://glottolog.org/resource/reference/id/143054
,,,,,,,,https://glottolog.org/resource/reference/id/128765
Hua,yaga1260,other,,,R=T,Haiman 1980:371;199,371;199,https://glottolog.org/resource/reference/id/99506
Kaluli,kalu1248,,,V-A,R and T different,Grosh 2004:17;65; Schieffelin 1985:526,,"https://glottolog.org/resource/reference/id/130893,"
,,,,,,,,https://glottolog.org/resource/reference/id/132861
Kamoro,kamo1255,,V-U-A,,R=T,Drabbe 1953:14,14,https://glottolog.org/resource/reference/id/145316
Kanasi,kana1288,other,V-U-A,,R=T,Royer 1996:3;44;50,3;44;50,https://glottolog.org/resource/reference/id/553619
Karo-Rawa,rawa1267,U-V-A,V-U-A,,R=T,Toland 1991:58-61,58-61,https://glottolog.org/resource/reference/id/70647
,,,,,,,,https://glottolog.org/resource/reference/id/84220
Kewa,west2599,,,V-A,R=T,Franklin 1971:62-63,62-63,https://glottolog.org/resource/reference/id/27581
,,,,,,,,https://glottolog.org/resource/reference/id/94430
Kobon,kobo1249,,,V-A,R=T,Davies 1989:109;112,109;112,https://glottolog.org/resource/reference/id/123674
Koiari,gras1249,,V-number-A,,R=T,Dutton 2003:339-340,339-340,https://glottolog.org/resource/reference/id/101683
Korafe,kora1294,,,V-A,R=T,Farr 1999:131-133,131-133,https://glottolog.org/resource/reference/id/34264
Koromu,kesa1244,,V-U-A,,R=T,Priestly 2001:103;107,103;107,https://glottolog.org/resource/reference/id/314432
Korowai,koro1312,,,V-A,R=T,Enk & De Vries 1997:105,105,https://glottolog.org/resource/reference/id/311395
Mauwake,mauw1238,U-V-A,,,R=T,Berghäll 2010:130;146,130;146,https://glottolog.org/resource/reference/id/45084
Menya,meny1245,U-V-A,,,R=T,Whitehead  2004:95-96,95-96,https://glottolog.org/resource/reference/id/10321
Mian,mian1256,U-V-A,,,R=beneficiary,Fedden 2007:253; 257,253; 257,https://glottolog.org/resource/reference/id/35228
Nabak,naba1256,U-V-A,,,R=T,Fabian et al. 1998:45,45,https://glottolog.org/resource/reference/id/116279
Nggem,ngge1241,,V-U-A,,R=T,Etherington 2002:127;131,127;131,https://glottolog.org/resource/reference/id/159159
Salt-Yui,salt1242,,,V-A,R=T,Irwin 1974:57,57,https://glottolog.org/resource/reference/id/53259
Selepet,sele1250,U-V-A,V-U-A,,R=T,McElhanon 1972:23;40,23;40,https://glottolog.org/resource/reference/id/121598
,,,,,,,,https://glottolog.org/resource/reference/id/76930
Siroi,siro1249,,V-U-A,,R=T,Wells 1979:34;57;67,34;57;67,https://glottolog.org/resource/reference/id/62999
,,,,,,,,https://glottolog.org/resource/reference/id/47827
Suena,suen1241,,,V-A,R and T different,Wilson 1974:59;84,59;84,https://glottolog.org/resource/reference/id/60891
,,,,,,,,https://glottolog.org/resource/reference/id/130079
Tainae,tain1253,other,unclear,,R=T,Carlson 1991:12;89;92,12;89;92,https://glottolog.org/resource/reference/id/128961
Tauya,tauy1241,U-V-A,,,R=T,MacDonald 1993:73;129;216,73;129;216,https://glottolog.org/resource/reference/id/83309
Telefol,tele1256,U-V-A,,,R=beneficiary,Healey 1965:28 (Verb Phrase),28,https://glottolog.org/resource/reference/id/143580
Umanakaina,uman1240,U-V-A,V-U-A,,R=T,Evensen 1996:25,25,https://glottolog.org/resource/reference/id/571145
Una,unaa1239,,V-U-A,,R=T,Louwerse 1988:108-110,108-110,https://glottolog.org/resource/reference/id/527715
,,,,,,,,https://glottolog.org/resource/reference/id/42878
Usan,usan1239,other,,,R=T,Reesink 1987:108-109,108-109,https://glottolog.org/resource/reference/id/123899
,,,,,,,,https://glottolog.org/resource/reference/id/144737
Wambon,wamb1259,,,V-A,R and T different,Jang 2008:12;80; De Vries 1992:61,,"https://glottolog.org/resource/reference/id/553403,"
,,,,,,,,https://glottolog.org/resource/reference/id/78780
,,,,,,,,https://glottolog.org/resource/reference/id/464375
Waskia,wask1241,,V-number-A,,R=T,Ross & Paol 1978:43; 54; 56,43; 54; 56,https://glottolog.org/resource/reference/id/55478
,,,,,,,,https://glottolog.org/resource/reference/id/145471
Yagaria,yaga1260,other,,,R=T,Renck 1975:141,141,https://glottolog.org/resource/reference/id/99338
,,,,,,,,https://glottolog.org/resource/reference/id/153754
Abau,abau1245,,,other,R=T,Lock 1999:110,110,https://glottolog.org/resource/reference/id/22818
Abui,abui1241,other,,,R=T,Kratochvíl 2007:191,191,https://glottolog.org/resource/reference/id/91131
Alamblak,alam1246,,V-A-U,,R=T,Bruce 1984:175,175,https://glottolog.org/resource/reference/id/310156
Ambulas,ambu1247,,,V-S/A,R=T,Wilson 1980:66;115,115,https://glottolog.org/resource/reference/id/18605
,,,,,,,,https://glottolog.org/resource/reference/id/39084
Arammba,aram1253,U-V-A,,,R=T,Boevé 2003:99,99,https://glottolog.org/resource/reference/id/157158
Bauzi,bauz1241,,,other,R and T different,Briley 1997:13,13,https://glottolog.org/resource/reference/id/89891
Bine,bine1240,U-V-A,,,R=T,Fleischman/Turpeinen 1975,,https://glottolog.org/resource/reference/id/113282
Bukiyip,buki1249,A-U-V,A-V-U,,R=T,Conrad 1991:32 & 18,32; 18,https://glottolog.org/resource/reference/id/69601
,,,,,,,,https://glottolog.org/resource/reference/id/548134
Bunaq,buna1278,other,,,R=T,Schapper 2010:126;435,126;435,https://glottolog.org/resource/reference/id/102813
Gizrra,gizr1240,U-V-A,,,R=T,Van Bodegraven &  Van Bodegraven 2004:21,21,https://glottolog.org/resource/reference/id/48129
Hatam,hata1243,,,S/A-V,R and T different,Reesink 1999:51,51,https://glottolog.org/resource/reference/id/132618
Imonda,imon1245,other,unclear,,R and T different,Seiler 1985:84;87;124;139,84;87;124;139,https://glottolog.org/resource/reference/id/30978
Inanwatan,suab1238,A-U-V,,,R=T,De Vries 2004:36,36,https://glottolog.org/resource/reference/id/33749
I’saka,kris1246,,A-V-U,,R and T different,Donohue/San Roque 2004:64,64,https://glottolog.org/resource/reference/id/49601
Kamasau,kama1367,,A-V-U,,R=T,Sanders 1994:14;16,14;16,https://glottolog.org/resource/reference/id/84092
Kiwai,sout2949,other,,,R=T,Ray 1931:36;40,36;40,https://glottolog.org/resource/reference/id/45923
Klon,kelo1247,other,,,R=T,Baird 2008,,https://glottolog.org/resource/reference/id/95347
Kol,kolp1236,,,S/A-V,R and T different,(Reesink notes),,no record
Kuot,kuot1243,other,A-V-U,,R and T partially different,Lindström 2002:109;217,109;217,https://glottolog.org/resource/reference/id/46091
,,,,,,,,https://glottolog.org/resource/reference/id/21547
Lavukaleve,lavu1241,U-A-V,A-V-U,,R and T different,Terrill  2003:228-230,228-230,https://glottolog.org/resource/reference/id/62173
Mairasi,nucl1594,,V-A-U,,R=T,Peckham 2000,,https://glottolog.org/resource/reference/id/471898
Mali,mali1284,,A-V-U,,R=T,Stebbins 2007   2011,,https://glottolog.org/resource/reference/id/309421
Marind,nucl1622,A-U-V,A-V-U,,R=T,Drabbe 1955:67;70;141,67;70;141,https://glottolog.org/resource/reference/id/57430
,,,,,,,,https://glottolog.org/resource/reference/id/151833
Maybrat,maib1239,,,S/A-V,R=T,Dol 2007:218,218,https://glottolog.org/resource/reference/id/101229
,,,,,,,,https://glottolog.org/resource/reference/id/553279
Mende,mend1268,,,other,R=T,Hoel et al 1994:88,88,https://glottolog.org/resource/reference/id/105341
Menggwa Dla,dera1245,,V-A-U,,R=T,De Sousa 2006:137;288,137;288,https://glottolog.org/resource/reference/id/112103
Meyah,meya1236,,A-V-U,,R and T different,"Gravelle 2004:78 2011 in glottolog, 2010 in the article.",,https://glottolog.org/resource/reference/id/69526
Moi,moii1235,,,S/A-V,R and T different,Reesink 2008,,https://glottolog.org/resource/reference/id/535588
Motuna,siwa1245,,V-U-A,,R=T,Onishi 1994:328;410,328;410,https://glottolog.org/resource/reference/id/551250
Namia,nami1256,,+ (V- number S/O),,R=T,Feldpausch 1992:38;58,38;58,https://glottolog.org/resource/reference/id/50406
Orya,orya1242,,V-U-A,,R and T different,Fields 1997;2000:24,24,https://glottolog.org/resource/reference/id/118873
Rotokas,roto1249,,,V-S/A,R=T,Robinson 2007:205       2011,,https://glottolog.org/resource/reference/id/95683
Sulka,sulk1246,,,S/A-V,R and T partially different,Schneider 1942;Reesink 2005,,"https://glottolog.org/resource/reference/id/150994,"
,,,,,,,,https://glottolog.org/resource/reference/id/26815
Teiwa,teiw1235,other,,,R=T,Klamer 2010; Klamer & Schapper 2012,,"https://glottolog.org/resource/reference/id/32869,"
,,,,,,,,https://glottolog.org/resource/reference/id/476560
Tidore,tido1248,,,S/A-V,R=T,Van Staden 2000:212,212,https://glottolog.org/resource/reference/id/54761
Tobelo,tobe1252,A-U-V,,,R=T,Holton 2003:21,21,https://glottolog.org/resource/reference/id/83312
Yélî Dnye,yele1255,,,other,R and T different,Stephen Levinson (personal communication),,no record
Yessan-Mayo,yess1239,,,other,R=T,Foreman 1974:37;109,37;109,https://glottolog.org/resource/reference/id/80968
Yimas,yima1243,A-U-V,,,R=T,Foley 1991:208;213;307,208;213;307,https://glottolog.org/resource/reference/id/49447
